RDA element,RDA recording method,Alignment,M21 Authority encoding
adaptation of work,identifier,aligns with,500 ** $0 
adaptation of work,identifier,aligns with,510 ** $0 
adaptation of work,identifier,aligns with,511 ** $0 
adaptation of work,identifier,aligns with,530 ** $0 
adaptation of work,IRI,aligns with,500 ** $1 
adaptation of work,IRI,aligns with,510 ** $1 
adaptation of work,IRI,aligns with,511 ** $1 
adaptation of work,IRI,aligns with,530 ** $1 
adapted as choreography expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as choreography expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as choreography expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adapted as choreography expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adapted as choreography expression,identifier,aligns with,500 ** $0 
adapted as choreography expression,identifier,aligns with,510 ** $0 
adapted as choreography expression,identifier,aligns with,511 ** $0 
adapted as choreography expression,identifier,aligns with,530 ** $0 
adapted as choreography expression,IRI,aligns with,500 ** $1 
adapted as choreography expression,IRI,aligns with,510 ** $1 
adapted as choreography expression,IRI,aligns with,511 ** $1 
adapted as choreography expression,IRI,aligns with,530 ** $1 
adapted as choreography work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
adapted as choreography work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
adapted as choreography work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
adapted as choreography work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
adapted as choreography work,identifier,aligns with,500 ** $0 
adapted as choreography work,identifier,aligns with,510 ** $0 
adapted as choreography work,identifier,aligns with,511 ** $0 
adapted as choreography work,identifier,aligns with,530 ** $0 
adapted as choreography work,IRI,aligns with,500 ** $1 
adapted as choreography work,IRI,aligns with,510 ** $1 
adapted as choreography work,IRI,aligns with,511 ** $1 
adapted as choreography work,IRI,aligns with,530 ** $1 
adapted as expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adapted as expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adapted as expression,identifier,aligns with,500 ** $0 
adapted as expression,identifier,aligns with,510 ** $0 
adapted as expression,identifier,aligns with,511 ** $0 
adapted as expression,identifier,aligns with,530 ** $0 
adapted as expression,IRI,aligns with,500 ** $1 
adapted as expression,IRI,aligns with,510 ** $1 
adapted as expression,IRI,aligns with,511 ** $1 
adapted as expression,IRI,aligns with,530 ** $1 
adapted as graphic novel expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as graphic novel expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as graphic novel expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adapted as graphic novel expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adapted as graphic novel expression,identifier,aligns with,500 ** $0 
adapted as graphic novel expression,identifier,aligns with,510 ** $0 
adapted as graphic novel expression,identifier,aligns with,511 ** $0 
adapted as graphic novel expression,identifier,aligns with,530 ** $0 
adapted as graphic novel expression,IRI,aligns with,500 ** $1 
adapted as graphic novel expression,IRI,aligns with,510 ** $1 
adapted as graphic novel expression,IRI,aligns with,511 ** $1 
adapted as graphic novel expression,IRI,aligns with,530 ** $1 
adapted as graphic novel work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
adapted as graphic novel work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
adapted as graphic novel work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
adapted as graphic novel work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
adapted as graphic novel work,identifier,aligns with,500 ** $0 
adapted as graphic novel work,identifier,aligns with,510 ** $0 
adapted as graphic novel work,identifier,aligns with,511 ** $0 
adapted as graphic novel work,identifier,aligns with,530 ** $0 
adapted as graphic novel work,IRI,aligns with,500 ** $1 
adapted as graphic novel work,IRI,aligns with,510 ** $1 
adapted as graphic novel work,IRI,aligns with,511 ** $1 
adapted as graphic novel work,IRI,aligns with,530 ** $1 
adapted as libretto expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as libretto expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as libretto expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adapted as libretto expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adapted as libretto expression,identifier,aligns with,500 ** $0 
adapted as libretto expression,identifier,aligns with,510 ** $0 
adapted as libretto expression,identifier,aligns with,511 ** $0 
adapted as libretto expression,identifier,aligns with,530 ** $0 
adapted as libretto expression,IRI,aligns with,500 ** $1 
adapted as libretto expression,IRI,aligns with,510 ** $1 
adapted as libretto expression,IRI,aligns with,511 ** $1 
adapted as libretto expression,IRI,aligns with,530 ** $1 
adapted as libretto work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
adapted as libretto work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
adapted as libretto work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
adapted as libretto work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
adapted as libretto work,identifier,aligns with,500 ** $0 
adapted as libretto work,identifier,aligns with,510 ** $0 
adapted as libretto work,identifier,aligns with,511 ** $0 
adapted as libretto work,identifier,aligns with,530 ** $0 
adapted as libretto work,IRI,aligns with,500 ** $1 
adapted as libretto work,IRI,aligns with,510 ** $1 
adapted as libretto work,IRI,aligns with,511 ** $1 
adapted as libretto work,IRI,aligns with,530 ** $1 
adapted as motion picture expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as motion picture expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as motion picture expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adapted as motion picture expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adapted as motion picture expression,identifier,aligns with,500 ** $0 
adapted as motion picture expression,identifier,aligns with,510 ** $0 
adapted as motion picture expression,identifier,aligns with,511 ** $0 
adapted as motion picture expression,identifier,aligns with,530 ** $0 
adapted as motion picture expression,IRI,aligns with,500 ** $1 
adapted as motion picture expression,IRI,aligns with,510 ** $1 
adapted as motion picture expression,IRI,aligns with,511 ** $1 
adapted as motion picture expression,IRI,aligns with,530 ** $1 
adapted as motion picture screenplay expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as motion picture screenplay expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as motion picture screenplay expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adapted as motion picture screenplay expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adapted as motion picture screenplay expression,identifier,aligns with,500 ** $0 
adapted as motion picture screenplay expression,identifier,aligns with,510 ** $0 
adapted as motion picture screenplay expression,identifier,aligns with,511 ** $0 
adapted as motion picture screenplay expression,identifier,aligns with,530 ** $0 
adapted as motion picture screenplay expression,IRI,aligns with,500 ** $1 
adapted as motion picture screenplay expression,IRI,aligns with,510 ** $1 
adapted as motion picture screenplay expression,IRI,aligns with,511 ** $1 
adapted as motion picture screenplay expression,IRI,aligns with,530 ** $1 
adapted as motion picture screenplay work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
adapted as motion picture screenplay work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
adapted as motion picture screenplay work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
adapted as motion picture screenplay work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
adapted as motion picture screenplay work,identifier,aligns with,500 ** $0 
adapted as motion picture screenplay work,identifier,aligns with,510 ** $0 
adapted as motion picture screenplay work,identifier,aligns with,511 ** $0 
adapted as motion picture screenplay work,identifier,aligns with,530 ** $0 
adapted as motion picture screenplay work,IRI,aligns with,500 ** $1 
adapted as motion picture screenplay work,IRI,aligns with,510 ** $1 
adapted as motion picture screenplay work,IRI,aligns with,511 ** $1 
adapted as motion picture screenplay work,IRI,aligns with,530 ** $1 
adapted as motion picture work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
adapted as motion picture work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
adapted as motion picture work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
adapted as motion picture work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
adapted as motion picture work,identifier,aligns with,500 ** $0 
adapted as motion picture work,identifier,aligns with,510 ** $0 
adapted as motion picture work,identifier,aligns with,511 ** $0 
adapted as motion picture work,identifier,aligns with,530 ** $0 
adapted as motion picture work,IRI,aligns with,500 ** $1 
adapted as motion picture work,IRI,aligns with,510 ** $1 
adapted as motion picture work,IRI,aligns with,511 ** $1 
adapted as motion picture work,IRI,aligns with,530 ** $1 
adapted as musical theatre expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as musical theatre expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as musical theatre expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adapted as musical theatre expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adapted as musical theatre expression,identifier,aligns with,500 ** $0 
adapted as musical theatre expression,identifier,aligns with,510 ** $0 
adapted as musical theatre expression,identifier,aligns with,511 ** $0 
adapted as musical theatre expression,identifier,aligns with,530 ** $0 
adapted as musical theatre expression,IRI,aligns with,500 ** $1 
adapted as musical theatre expression,IRI,aligns with,510 ** $1 
adapted as musical theatre expression,IRI,aligns with,511 ** $1 
adapted as musical theatre expression,IRI,aligns with,530 ** $1 
adapted as musical theatre work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
adapted as musical theatre work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
adapted as musical theatre work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
adapted as musical theatre work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
adapted as musical theatre work,identifier,aligns with,500 ** $0 
adapted as musical theatre work,identifier,aligns with,510 ** $0 
adapted as musical theatre work,identifier,aligns with,511 ** $0 
adapted as musical theatre work,identifier,aligns with,530 ** $0 
adapted as musical theatre work,IRI,aligns with,500 ** $1 
adapted as musical theatre work,IRI,aligns with,510 ** $1 
adapted as musical theatre work,IRI,aligns with,511 ** $1 
adapted as musical theatre work,IRI,aligns with,530 ** $1 
adapted as novel expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adapted as novel expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adapted as novel expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
