RDA,mapping,DCT
rdam:P30371,has broader,dct:contributor
rdam:P30372,has broader,dct:contributor
rdam:P30373,has broader,dct:contributor
rdam:P30374,has broader,dct:contributor
rdam:P30375,has broader,dct:contributor
rdam:P30376,has broader,dct:publisher
rdam:P30377,has broader,dct:publisher
rdam:P30378,has broader,dct:publisher
rdam:P30379,has broader,dct:publisher
rdam:P30380,has broader,dct:publisher
rdam:P30381,has broader,dct:publisher
rdam:P30382,has broader,dct:publisher
rdam:P30383,has broader,dct:publisher
rdam:P30384,has broader,dct:publisher
rdam:P30385,has broader,dct:publisher
rdam:P30386,has broader,dct:publisher
rdam:P30387,has broader,dct:publisher
rdam:P30388,has broader,dct:publisher
rdam:P30389,has broader,dct:publisher
rdam:P30390,has broader,dct:publisher
rdam:P30391,has broader,dct:publisher
rdam:P30392,has broader,dct:publisher
rdam:P30393,has broader,dct:publisher
rdam:P30394,has broader,dct:contributor
rdam:P30395,has broader,dct:publisher
rdam:P30396,has broader,dct:contributor
rdam:P30397,has broader,dct:contributor
rdam:P30398,has broader,dct:contributor
rdam:P30399,has broader,dct:contributor
rdam:P30400,has broader,dct:contributor
rdam:P30401,has broader,dct:contributor
rdam:P30402,has broader,dct:contributor
rdam:P30403,has broader,dct:contributor
rdam:P30404,has broader,dct:contributor
rdam:P30405,has broader,dct:publisher
rdam:P30406,has broader,dct:publisher
rdam:P30407,has broader,dct:publisher
rdam:P30408,has broader,dct:publisher
rdam:P30409,has broader,dct:publisher
rdam:P30410,has broader,dct:publisher
rdam:P30411,has broader,dct:publisher
rdam:P30412,has broader,dct:publisher
rdam:P30413,has broader,dct:publisher
rdam:P30414,has broader,dct:publisher
rdam:P30415,has broader,dct:publisher
rdam:P30416,has broader,dct:publisher
rdam:P30417,has broader,dct:publisher
rdam:P30418,has broader,dct:publisher
rdam:P30419,has broader,dct:publisher
rdam:P30420,has broader,dct:publisher
rdam:P30421,has broader,dct:publisher
rdam:P30422,has broader,dct:publisher
rdam:P30423,has broader,dct:contributor
rdam:P30424,has broader,dct:publisher
rdam:P30425,has broader,dct:contributor
rdam:P30426,has broader,dct:contributor
rdam:P30427,has broader,dct:contributor
rdam:P30428,has broader,dct:contributor
rdam:P30429,has broader,dct:contributor
rdam:P30430,has broader,dct:contributor
rdam:P30431,has broader,dct:contributor
rdam:P30432,has broader,dct:contributor
rdam:P30433,has broader,dct:contributor
rdam:P30434,has broader,dct:publisher
rdam:P30435,has broader,dct:publisher
rdam:P30436,has broader,dct:publisher
rdam:P30437,has broader,dct:publisher
rdam:P30438,has broader,dct:publisher
rdam:P30439,has broader,dct:publisher
rdam:P30440,has broader,dct:publisher
rdam:P30441,has broader,dct:publisher
rdam:P30442,has broader,dct:publisher
rdam:P30443,has broader,dct:publisher
rdam:P30444,has broader,dct:publisher
rdam:P30445,has broader,dct:publisher
rdam:P30446,has broader,dct:publisher
rdam:P30447,has broader,dct:publisher
rdam:P30448,has broader,dct:publisher
rdam:P30449,has broader,dct:publisher
rdam:P30450,has broader,dct:publisher
rdam:P30451,has broader,dct:publisher
rdam:P30452,has broader,dct:type
rdam:P30453,has broader,dct:type
rdam:P30454,has broader,dct:type
rdam:P30455,has broader,dct:type
rdam:P30456,has broader,dct:type
rdaw:P10002,has broader,dct:identifier
rdaw:P10004,has broader,dct:type
rdaw:P10005,has broader,dct:creator
rdaw:P10008,has broader,dct:creator
rdaw:P10009,has broader,dct:creator
rdaw:P10010,has broader,dct:creator
