*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has last alphanumeric designation of sequence,rdamd:lastAlphanumericDesignationOfSequence.en,rdamd:P30148,property,rdac:C10007,rdam:P30148,rdamd:P30274,,Published
has last chronological designation of alternative sequence,rdamd:lastChronologicalDesignationOfAlternativeSequence.en,rdamd:P30100,property,rdac:C10007,rdam:P30100,rdamd:P30150,,Published
has last chronological designation of sequence,rdamd:lastChronologicalDesignationOfSequence.en,rdamd:P30150,property,rdac:C10007,rdam:P30150,rdamd:P30274,,Published
has layout,rdamd:layout.en,rdamd:P30155,property,rdac:C10007,rdam:P30155,,,Published
has lithographer agent,rdamd:lithographerAgent.en,rdamd:P30074,property,rdac:C10007,rdam:P30074,rdamd:P30082,,Published
has lithographer collective agent,rdamd:lithographerCollectiveAgent.en,rdamd:P30383,property,rdac:C10007,rdam:P30383,rdamd:P30390,rdamd:P30074,Published
has lithographer corporate body,rdamd:lithographerCorporateBody.en,rdamd:P30412,property,rdac:C10007,rdam:P30412,rdamd:P30419,rdamd:P30383,Published
has lithographer family,rdamd:lithographerFamily.en,rdamd:P30441,property,rdac:C10007,rdam:P30441,rdamd:P30448,rdamd:P30383,Published
has lithographer person,rdamd:lithographerPerson.en,rdamd:P30354,property,rdac:C10007,rdam:P30354,rdamd:P30361,rdamd:P30074,Published
is manifestation analysed in,rdamd:manifestationAnalysedIn.en,rdamd:P30255,property,rdac:C10007,rdam:P30255,rdamd:P30254,,Published
is manifestation commentary in,rdamd:manifestationCommentaryIn.en,rdamd:P30256,property,rdac:C10007,rdam:P30256,rdamd:P30254,,Published
has manifestation copyright statement,rdamd:manifestationCopyrightStatement.en,rdamd:P30280,property,rdac:C10007,rdam:P30280,rdamd:P30292,,Published
is manifestation critiqued in,rdamd:manifestationCritiquedIn.en,rdamd:P30257,property,rdac:C10007,rdam:P30257,rdamd:P30254,,Published
is manifestation described in,rdamd:manifestationDescribedIn.en,rdamd:P30254,property,rdac:C10007,rdam:P30254,rdamd:P30253,,Published
has manifestation designation of sequence statement,rdamd:manifestationDesignationOfSequenceStatement.en,rdamd:P30281,property,rdac:C10007,rdam:P30281,rdamd:P30292,,Published
has manifestation dissertation statement,rdamd:manifestationDissertationStatement.en,rdamd:P30282,property,rdac:C10007,rdam:P30282,rdamd:P30292,,Published
has manifestation distribution statement,rdamd:manifestationDistributionStatement.en,rdamd:P30283,property,rdac:C10007,rdam:P30283,rdamd:P30292,,Published
has manifestation edition statement,rdamd:manifestationEditionStatement.en,rdamd:P30284,property,rdac:C10007,rdam:P30284,rdamd:P30292,,Published
